image_path,label,sample_id,panel_id
data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig1_b.jpg,apparatus diagram,atomic-layer-deposition/experimental-usecase/12/fig1,b
data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig1_a.jpg,apparatus diagram,atomic-layer-deposition/experimental-usecase/12/fig1,a
data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_10_a.jpg,line chart,atomic-layer-deposition/experimental-usecase/12/fig_10,a
data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_11_a.jpg,line chart,atomic-layer-deposition/experimental-usecase/12/fig_11,a
data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_12_a.jpg,image panel,atomic-layer-deposition/experimental-usecase/12/fig_12,a
data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_2_a.jpg,spectra chart,atomic-layer-deposition/experimental-usecase/12/fig_2,a
data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_3_b.jpg,apparatus diagram,atomic-layer-deposition/experimental-usecase/12/fig_3,b
data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_3_a.jpg,apparatus diagram,atomic-layer-deposition/experimental-usecase/12/fig_3,a
data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_4_b.jpg,stacked spectra chart,atomic-layer-deposition/experimental-usecase/12/fig_4,b
data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_4_a.jpg,stacked spectra chart,atomic-layer-deposition/experimental-usecase/12/fig_4,a
data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_5_a.jpg,multiple scatter plot,atomic-layer-deposition/experimental-usecase/12/fig_5,a
data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_6_a.jpg,stacked spectra chart,atomic-layer-deposition/experimental-usecase/12/fig_6,a
data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_6_b.jpg,stacked spectra chart,atomic-layer-deposition/experimental-usecase/12/fig_6,b
data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_7_a.jpg,multiple scatter plot,atomic-layer-deposition/experimental-usecase/12/fig_7,a
data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_8_a.jpg,scatter plot,atomic-layer-deposition/experimental-usecase/12/fig_8,a
